input,output,flag,username,timestamp
C:\Users\salva\OneDrive\Desktop\MACHINE_LEARNING\leaf-classifier\flagged\input\tmpg6raypf7.jpg,C:\Users\salva\OneDrive\Desktop\MACHINE_LEARNING\leaf-classifier\flagged\output\tmpc_zwmyrm.json,,,2022-10-22 14:55:34.773467
C:\Users\salva\OneDrive\Desktop\MACHINE_LEARNING\leaf-classifier\flagged\input\tmpunaoawzl.jpg,C:\Users\salva\OneDrive\Desktop\MACHINE_LEARNING\leaf-classifier\flagged\output\tmpauaugmy0.json,,,2022-10-22 14:55:35.799005
C:\Users\salva\OneDrive\Desktop\MACHINE_LEARNING\leaf-classifier\flagged\input\tmpp4h3nx1n.jpg,C:\Users\salva\OneDrive\Desktop\MACHINE_LEARNING\leaf-classifier\flagged\output\tmpcp_ax230.json,,,2022-10-22 14:55:35.950599
,,,,,,,,,2022-11-04 17:32:47.685944
0.2,AlexNet,1,True,True,False,,,,2022-11-04 17:53:54.197226
0.2,AlexNet,1,True,True,False,,,,2022-11-04 17:53:55.050921
0.2,AlexNet,1,True,True,False,,,,2022-11-04 17:53:55.177581
